Sale_ID,Date,Store_ID,Product_ID,Customer_ID,Quantity,Unit_Price,Discount,Total_Sale
SALE000000,2023-04-14,STORE045,PROD00335,CUST01792,4,6256.9,0,25027.6
SALE000001,2022-03-31,STORE038,PROD00216,CUST02328,1,7052.42,10,6347.18
SALE000002,2022-03-24,STORE017,PROD00489,CUST01824,4,3548.02,10,12772.87
SALE000003,2023-02-05,STORE029,PROD00077,CUST01843,2,2207.62,0,4415.24
SALE000004,2022-07-03,STORE020,PROD00053,CUST02936,1,4809.51,5,4569.03
SALE000005,2022-10-23,STORE042,PROD00111,CUST00235,2,5054.64,20,8087.42
SALE000006,2022-03-20,STORE030,PROD00351,CUST00103,1,3401.82,10,3061.64
SALE000007,2022-04-22,STORE044,PROD00222,CUST01214,1,5816.44,15,4943.97
SALE000008,2022-06-18,STORE027,PROD00418,CUST00593,4,4607.93,10,16588.55
SALE000009,2022-10-10,STORE013,PROD00006,CUST01442,2,2526.88,20,4043.01
SALE000010,2022-04-25,STORE048,PROD00221,CUST02751,1,2668.01,15,2267.81
SALE000011,2023-12-15,STORE031,PROD00075,CUST00635,3,5052.99,20,12127.18
SALE000012,2022-06-01,STORE044,PROD00315,CUST01900,2,3442.45,0,6884.9
SALE000013,2023-05-24,STORE048,PROD00145,CUST01567,2,2817.26,5,5352.79
SALE000014,2022-06-04,STORE038,PROD00420,CUST02532,2,6263.51,15,10647.97
SALE000015,2024-06-14,STORE032,PROD00362,CUST01531,4,181.65,20,581.28
SALE000016,2022-07-29,STORE010,PROD00302,CUST02386,3,2659.9,5,7580.72
SALE000017,2023-06-18,STORE037,PROD00141,CUST02852,2,2961.7,0,5923.4
SALE000018,2023-10-05,STORE014,PROD00478,CUST01324,1,988.87,5,939.43
SALE000019,2022-01-24,STORE001,PROD00136,CUST00949,1,2646.76,20,2117.41
SALE000020,2022-10-28,STORE021,PROD00238,CUST01192,4,6460.42,0,25841.68
SALE000021,2023-03-03,STORE020,PROD00321,CUST02673,1,467.54,5,444.16
SALE000022,2023-11-30,STORE031,PROD00486,CUST02882,2,4785.49,5,9092.43
SALE000023,2023-07-09,STORE030,PROD00093,CUST00505,1,3577.4,15,3040.79
SALE000024,2022-05-16,STORE036,PROD00403,CUST00223,2,5038.28,5,9572.73
SALE000025,2023-05-01,STORE030,PROD00255,CUST01913,1,5706.44,0,5706.44
SALE000026,2022-12-22,STORE042,PROD00069,CUST01154,3,3132.51,5,8927.65
SALE000027,2023-03-07,STORE038,PROD00159,CUST01250,4,4845.5,15,16474.7
SALE000028,2023-03-31,STORE041,PROD00181,CUST00919,4,2957.43,5,11238.23
SALE000029,2024-01-26,STORE034,PROD00165,CUST00220,3,7545.45,0,22636.35
SALE000030,2023-10-23,STORE013,PROD00341,CUST00796,3,5245.18,10,14161.99
SALE000031,2022-01-22,STORE024,PROD00249,CUST02618,4,1414.42,5,5374.8
SALE000032,2022-10-26,STORE028,PROD00199,CUST00706,3,4686.89,0,14060.67
SALE000033,2022-07-13,STORE027,PROD00306,CUST00085,2,1005.7,20,1609.12
SALE000034,2022-03-06,STORE001,PROD00300,CUST02256,1,1873.18,15,1592.2
SALE000035,2022-01-23,STORE030,PROD00299,CUST00464,4,4799.44,15,16318.1
SALE000036,2024-06-11,STORE019,PROD00273,CUST02977,3,6375.93,10,17215.01
SALE000037,2024-04-01,STORE046,PROD00395,CUST01068,2,3399.01,20,5438.42
SALE000038,2022-08-26,STORE040,PROD00466,CUST00127,4,6734.98,0,26939.92
SALE000039,2024-05-04,STORE006,PROD00255,CUST00347,3,2677.11,20,6425.06
SALE000040,2023-06-17,STORE002,PROD00160,CUST02112,4,4409.11,20,14109.15
SALE000041,2023-10-23,STORE023,PROD00034,CUST01146,3,1293.86,0,3881.58
SALE000042,2022-12-10,STORE037,PROD00053,CUST00450,4,7979.13,5,30320.69
SALE000043,2023-02-26,STORE013,PROD00319,CUST02275,2,4189.75,5,7960.52
SALE000044,2023-08-16,STORE038,PROD00146,CUST01645,2,909.08,10,1636.34
SALE000045,2022-12-18,STORE017,PROD00270,CUST02896,1,1087.07,5,1032.72
SALE000046,2023-11-03,STORE046,PROD00303,CUST01237,4,3556.35,15,12091.59
